axis_1,axis_2,word
-0.12169322430006392,-0.5020552923356132,the
-0.5023470771367189,0.09752175367059107,to
-0.3360683534546154,-0.07389574640803605,of
-0.20624675992906744,-0.33829365531775835,a
-0.45736789722507815,-0.3037257932455036,and
-0.36972266447814733,-0.04355767524035689,in
-0.24158374038051517,-0.5678237847958671,that
-0.3341697436631336,0.026537497853040087,is
-0.5698809109751944,-0.42263183970132445,s
-0.7371832811610544,-0.7351080459846115,it
-0.49904620014033374,0.14489110643073502,for
-0.4575944274274481,0.12284922438138529,on
-0.47538677269615315,0.013471030597843499,with
-0.37968063556396414,-0.6917456314935898,this
-0.35824051337935764,0.14478099368874253,are
-0.4215510956423091,-0.04348795642057596,by
-0.5244036743167605,0.2724674010420818,be
-0.4711128601935605,0.15772098993005942,wa
-0.5149176817441065,0.15426732701440962,have
-0.38902288595938433,0.13852937064400234,not
-0.5288613752257962,-0.09992990640220126,ha
-0.6326583201420448,0.14313948362231754,from
-0.6170350291681521,-0.32856395656387904,they
-0.5579677073169774,-0.5320478661157154,we
-0.6920517399401103,-0.9405591252041382,he
-0.4988293594517246,-0.5046362771432895,i
-0.7665358853271351,-0.4369711781147625,you
-0.363921991162213,-0.07780539725264599,at
-0.7472312965024958,-1.1888804241172144,clinton
-0.30075577925859853,-0.08374831465835526,an
-0.9171777778174086,-0.7784982019365919,trump
-0.5903897876372635,-0.3715309518412162,but
-0.8964297899667285,-0.4995100868949993,u
-0.2637272892679994,0.08938179480034449,will
-0.5505100617581219,-0.23772095978355207,their
-0.5361773706921593,-0.05084957519961377,or
-0.639375443116864,-0.16018083339263983,t
-0.772884832874879,-0.38633164125738406,his
-0.7262075298639732,-0.8261843307523498,who
0.5773920158858209,-0.33147825721342916,all
-0.46393593114818893,0.029303503033544984,about
-0.5861637024663492,-0.49582016016164454,if
-0.9645697372212744,-1.2339946704311648,hillary
-0.45231288713800866,-0.38205588053098694,people
0.7776744799138128,-0.2350851756398864,one
-0.5630437944055062,0.2721289850325334,been
-0.5278758796809822,-0.6375082685110937,what
-0.47090222569275225,-0.07539605126542662,can
-0.07834469925121049,-0.841424639937828,state
-0.8507236866443694,-0.14448308813695024,her
-0.9115261085269373,-0.15473370746808662,said
-0.27320726039798465,-0.29092446970350405,more
-0.3601803906198068,0.1583634593612363,would
-0.8969403625049173,-0.8907427045541283,there
-0.3481827815184166,-0.523222078876321,which
-0.7186390447225246,-1.1550508119616643,she
-0.4663339997870318,0.2911368007990701,were
-0.8445987057102332,-0.7298896014935315,our
-0.7356656814196146,-0.3748928744544678,so
-0.1293032564092354,-0.4960772178042051,year
-0.40755832603037456,-0.3685245735744622,election
-0.277095771907711,-0.1358568913352077,no
-0.6345587533828272,-0.4994819171141531,time
0.8668907684774277,0.24591740704404327,out
-0.8531863281721552,-0.5138764441713396,when
-0.6754881774144047,0.2694579420586184,had
-0.633160501922548,0.7402431217741073,up
-0.5214968225786064,0.0979623678102973,just
-0.24948436161872586,-0.6637244011615182,new
-0.6381084479755146,-0.5763284673243192,american
-0.7658036025623303,-0.04100600927281768,do
-0.4963190472146647,0.12482925133122731,into
-0.7246108479343555,-0.5547679435041805,your
-0.4325086946159288,-0.14588955526310732,also
-0.7710223159163538,-0.37395066962915297,like
-0.21979476908099263,-0.5546137474111641,other
-0.8887679248785672,-0.801469017430161,now
-0.2605488354720355,0.21316515603852063,over
-0.5672301876020508,-0.21157723306772772,email
-0.48798181242316846,-0.06049393129300981,than
-0.8014530568228778,0.042355928727253724,them
-0.30489317868589666,-0.4070584709057911,after
-0.4098763390179452,-0.6156801254395524,these
-0.6178815834194661,-0.7676347800187339,world
0.9915316179917082,-0.1716052064536274,some
-0.015721321618040955,-0.7548912813760272,president
-0.5491429785916943,0.326648059772773,even
-0.0546146633349532,-0.06868917189430351,only
-0.6334872057583707,-0.04106415749075037,how
-0.25600573481023314,-0.6032643537522393,government
0.017524756245594676,-0.21478760769347402,day
-0.3086165851641289,0.1024728719392506,could
0.9756626990965958,-0.5495656068314941,because
0.5691912768507417,-0.5279061374747402,many
-0.346607379513438,0.11148768943284448,being
-0.028391689212114223,-0.25934483003105785,right
-0.5571469411391865,-0.5455755565774767,campaign
0.4643480531319248,0.049301162297684414,any
-0.47391202866047405,-0.5448198147727,war
0.6806942502852726,-0.22741169653885643,most
-0.9161459615190193,-0.8248774646801401,russia
-0.22580856215485887,0.07865473862715078,against
-0.3769453617862747,-0.670114095188864,country
-0.28803248527188136,-0.17209079926296467,first
-0.48127758088541883,0.8858409362265557,get
-0.8121255751951307,-1.1981064046528584,medium
-0.9525636816839047,-0.5202787008119688,say
-0.5802210587020447,-1.0989691090554319,fbi
-0.6467984321592596,-0.6126589014178508,know
-0.049923219911553476,-0.22738727199058617,two
-0.520767574022888,0.19901953165175582,make
-0.17970535754185624,-0.27180973394765773,while
0.20500734500370196,-0.20231338292080372,those
-0.2337566794769742,0.1358049936329993,way
-0.9747506912335128,-1.007432004676006,donald
-0.6868076821378436,-0.7654177800970392,my
-0.3967446353580312,-0.3083601459562253,may
-0.7257176340092594,-0.23342936708098105,then
-0.14156520514011903,0.7955602985032273,take
-0.5828802199268037,0.194273719805757,vote
-1.0890850381750081,-1.08476090059096,obama
-0.6549422418379196,-0.4009442441232124,before
-0.8315108258784639,0.019462440367945272,well
-0.5761277657779651,-0.32280788900148627,very
-0.1883574379018567,-0.5652635318902931,political
-0.9206739617946806,-0.3681537323153262,should
-0.7463514421260083,-0.6168168803879728,news
-1.1695015863958633,-0.3050207782601917,here
-0.7195868329844867,-0.9650158467157485,russian
-1.2733220177927045,1.4400009398195246,going
-0.7455802371394833,0.18159591665680502,him
-1.2860519458236908,-0.9500744804714522,america
-0.5139160151980705,0.8407247772901548,go
-0.6138552205419444,0.3653009124385724,re
0.29573159746558675,-0.07784349885652467,report
-0.7747622700067258,-0.23570063149687143,thing
-0.6254492484923214,-0.587743545703767,where
-0.26853650436028065,-0.47967684580626807,life
-0.7803447707329724,-0.30848776417675333,october
-0.535426386580159,0.1870928987119249,see
-0.42459899432775566,-1.1892619138576435,don
-0.4515012896262893,-0.628179748952142,party
0.48954644530519975,-0.6257738814919211,think
-1.449027649308095,0.8980542842015186,want
-0.8222992965858505,-0.6496307195350719,republican
-0.2875733959360252,0.30894813466268983,need
-0.41916675891784194,-0.667229309956701,public
-0.5349213656019666,-0.09720504132406198,such
-1.117711403498729,2.3960108980413004,according
-0.9137174234189562,0.38172562106557534,down
0.8019973557144755,0.0017115002139582425,million
-0.8809393183954485,1.0561654267677087,come
-0.629689933825569,-0.48762073868986267,last
-0.21754053666076825,-1.077888721785787,united
-0.8619732166133349,-0.05504439887203809,did
0.9041448380805737,0.32207888490271597,much
-0.5763351121005745,0.7140037521532218,back
-0.5991280604754236,-1.0146320513644727,woman
0.13536567963412188,-0.8218262991961556,system
0.21580461864631253,-0.24559822260213054,investigation
-0.41709027721939657,-0.9209655328263225,law
-0.9325645581923812,-0.5426032349653339,since
-0.08627094282606775,0.9518551865793392,made
-0.33601307174074474,-0.6743820088958256,why
0.06727314820367483,0.03846856224200368,power
-0.2908255575126519,0.12951407924213948,through
-0.2946571475013366,-0.9274108161122845,presidential
-0.25920838072539054,0.1421750803974466,force
-0.47579155596131256,-0.5891174236593625,military
0.3585079052761027,-0.4459018425990848,policy
-0.5973804547539636,-0.8081464158237036,white
0.2762865202596992,0.21103241038715906,support
0.13374292996724432,-0.44226588266979744,national
-0.1723749501936305,-0.46561785951802764,fact
-0.43879033190357025,-0.8304863663744849,police
0.6421986262015591,-0.8148959833939475,group
-0.051776003809379745,-0.6882028052074186,candidate
-0.7391177217990886,0.38518006020594586,told
-0.42927404090279103,-0.6179216600276818,official
-0.5740427983115554,-0.5982718669289088,own
0.6229202780758903,-0.5706203783760804,case
-0.32436513459616195,0.0016220952420572463,work
-0.5298136183974383,-0.6592511234101623,between
-0.10662648130204644,0.3463575626261198,off
-0.8913122246313341,-0.1359393412246589,voter
-0.7945932883381179,-0.11358641652694894,me
-0.47136204649282404,0.22648485947443317,during
-0.39519032802222653,-0.14681294669608275,change
-0.33450524694303096,0.1927315261016278,under
-0.8795074661452611,-0.7193054221976675,post
-0.5645817622200408,-0.4269020750780259,same
-0.4602585121921597,-0.2788484429065048,another
-0.05699217532271591,-0.44756560942800044,both
1.1723863657684563,0.6138975920954005,use
2.296483279683032,0.6554208049486876,part
0.042536928044815965,-0.6793473014200477,house
-0.5494516162223619,-0.6754712492061223,good
-0.012182716235377112,-0.9691942811228633,child
-0.5728277631888417,-0.29328511907925525,information
-0.07343779183983441,-0.21828123054834173,show
-0.21806522247241475,-0.8836029105089309,black
-0.7010304802041774,-0.028010174754673385,still
0.2837855034639844,0.018351401901456066,point
-0.3699014812986622,-0.9024254761051469,democratic
-0.18443778397029345,-0.3536188276098038,every
-0.41766741445823913,-0.629183259414461,nation
-0.8269272089816645,0.010552624270957123,november
0.8167407309997908,-0.36450499764676014,source
-0.6212085816561513,-0.23602912465428386,m
-0.9781593750328299,-0.9589279486799321,today
-0.8204536555432114,-0.831526694006563,never
-1.0330461042053325,-1.2113012899647133,washington
-0.1831158212693046,-0.2954014020208724,long
-0.7927502065140887,-0.8083033142908207,comey
-0.3017949073550058,-0.3373037389847399,week
-0.33073264756815657,-0.545174186166398,doe
-1.1025612429523748,-0.5648850381763981,syria
-0.6949828256944031,-0.17926620084575617,however
-0.12067894971915896,-0.3808924112770953,month
0.009714944660627596,0.1774546738144747,share
-0.26840819479378764,0.5040219300100569,around
-0.9140572070262087,1.4387518008307627,used
1.239515258138388,-0.9214662672373771,department
-0.339158502317228,-0.3507259605208606,article
-0.4667298736536851,0.31302214939127804,look
1.1084329344821011,0.06758597013247682,percent
1.1189039266148455,-0.055417679259006494,result
0.34044017482262406,-0.05195400056384492,mean
0.20415597137441405,-0.7077178420435662,video
-0.7196004067476733,0.5849336569334781,called
0.214214069772242,-0.43154101155372326,issue
1.2042800010620447,0.4681541496212353,end
0.14349983942624617,-0.9422143884972647,former
1.7901949658235188,-0.08959685014379094,member
-0.7222308264628151,-0.1786045723943762,too
-0.05476301317148251,0.7556324094761593,help
-0.32537922734032476,-0.843530354914245,human
-0.6042599391574378,1.5451004975841465,put
1.639295976457682,-0.3254766221602925,number
-0.73199469858555,-0.11807555051161289,voting
0.24008514679303558,-0.2610797922374619,city
-0.43626132971517884,0.8762366536935244,found
-0.43603764588977356,-0.6863174507466236,foreign
-0.6558329042339129,-0.350809429884586,comment
-0.6001359614833013,-1.1466650580522615,bill
-0.04309325533894075,-1.0136032580226082,security
-0.4854036547825235,-0.014875646860661947,free
-0.4950760313073952,-0.5218846084009056,already
-0.4177330723807371,-0.1645406990406204,ve
-0.689618541028096,0.3021034997975452,next
-0.30177961956833127,0.38208848960703895,including
-0.29039657486846354,0.3434036152829704,far
0.051459066169622786,-1.0819557465325118,general
-0.9590712713313371,-0.24360738917505517,democrat
-0.43320706650960494,-1.0149863310390377,man
-0.6580707674502561,-0.049461592357161015,something
-0.601908979201655,-0.4019276895363748,really
0.12441866280158312,-0.3272463311282434,story
-0.34398912415622324,-0.30290462651892536,must
-0.9948625722097588,-0.1392278239432014,money
-0.38654805047523055,0.3658935433345824,order
-0.4592951827653648,-0.8600435021384439,family
-0.23978858183145077,0.08909467670623673,without
-0.41265724411972937,-0.4771478440619866,home
-0.34969767157926024,0.2879374650148855,place
-0.40608662032386894,-0.04601865345401481,attack
-0.043919869596584026,-1.099880769185644,health
-0.4009613918755456,-0.9669516002705026,old
0.2985512995420609,-0.3590623182998096,question
-0.6326609829321067,-0.1651969337316767,believe
-0.595844966977229,-1.1396846262109357,company
0.4473828629221595,0.03607573432166642,high
-0.16710948575158283,-0.2634940460646926,might
0.38849980013540253,-0.32894483630641486,office
-0.6090387775147466,0.007517356376765999,left
-0.6377443319646451,-0.49519167477288095,anti
-0.0919026021134484,-0.7589854931369282,problem
0.9152057356029518,-0.20888148885830682,control
-0.2582385568670231,-0.003089463218580839,win
-0.1080978044284685,-1.0309628238180586,real
1.8719707863889692,-0.5561454439925848,director
-1.0940141904167282,-0.7476627740488303,again
-0.08680508753748424,-1.2237791816994619,foundation
-0.675202535953734,1.1099920415715212,reported
-0.8442301122807687,-0.592135034861649,d
-0.04212275019926612,-0.45268926226830847,action
-0.3896995180386861,-0.6236652882320975,let
0.06762902780013459,-0.5575295504487922,matter
-0.008386639470507927,-0.3006483458997293,few
-0.5034621541624363,0.6093382862993834,likely
-0.576484640644779,0.646300556545921,call
0.10313552629395616,-0.45364103442794124,federal
-0.5914920049852279,-0.037419889542672835,yet
0.06510842514940444,0.04166838588686215,claim
-0.713861371043363,-0.6796833958043379,global
1.2249625595066613,-0.15164843515103993,evidence
-0.3730904807175442,0.03299426712028979,reason
-0.5248834168476065,0.013035976796033862,ever
-0.9987066772713628,-1.4206698445124575,mr
-0.17541863701559002,-0.8811025211675119,wikileaks
2.5793232561964197,-1.1407636161994121,secretary
-0.8125580245369913,1.0536403109266903,give
0.9643260825111916,-1.2636015458970435,history
-0.8108194452900085,-0.3773172993931605,actually
-0.027775956598929962,-0.5254510994783109,great
-0.47544735623468176,-0.8149987471305118,justice
-0.17647237522366802,-0.5248411945024165,water
-0.3807327288308892,0.1722900609897916,nothing
-0.8420548134440362,-1.1022425474906696,china
0.5327488661440387,-0.43602745633931084,course
-0.38905545489639726,0.3462732044220976,plan
-0.29050123430534125,-0.17305618726480526,three
0.0380061454428584,0.46862684393544224,become
-0.1935325478688868,0.9920130530233086,keep
-0.41770405813312855,-0.5588627627621874,market
-0.45679943822768526,0.07956262418712653,private
-0.3272900579768649,-0.5585769893593626,social
0.2568707792305065,-0.37633546929987755,north
0.1612008098467996,-0.3471248668184739,supporter
-0.10339481036915033,-0.07082197168455213,recent
0.740230139929372,-0.09052631512747088,interest
-0.2331773818825219,0.016304474735285016,least
-0.3961928844708405,0.3592550524766912,find
-0.09524982999268053,-0.17281228710339322,major
0.8538363090910261,-0.5641018678053158,area
0.5895748690998177,-0.26760603313573866,hand
-1.2536626599259437,-0.8113498141613283,facebook
-0.3618003423236354,-0.18524138195885076,once
-0.30690718989794363,-0.8216865169675106,big
-0.5334219159981636,-1.2388996012704139,john
0.7455527210936588,-0.11042290577501263,top
0.44035770012404724,-1.0888604528768269,bank
0.8771016394929726,-0.4629180202607418,act
-0.5254843145145925,-0.247813673827186,service
-0.3256127766602386,-0.8996128874547125,international
-0.8810199595828164,-0.548367887407037,saying
-0.5585607794050527,0.012801545030541591,am
-0.5626496681439367,-0.09976415614497776,whether
-0.09374626038420904,-0.6831047015641312,crime
-0.35557478185147123,0.2777227292441907,important
-0.44711035281309336,-0.5073196766511854,past
0.28604826683348267,-0.20193291716829595,study
-0.6405537538700241,0.03992682963667484,others
-0.3776112465156466,-0.22340533526990214,better
-0.36062258378742973,-0.7750560255888999,community
-0.8110419943908096,0.7675595466250356,seen
0.6698437199579773,-0.46177088420368206,name
-0.5806810046766036,1.596752296478667,given
1.1504537328062072,-0.5700350687729246,leader
-0.463006761132889,-0.881247056533638,gold
0.09466427570056325,-0.5827290584997442,th
0.007909058068079983,0.12380343099811461,poll
-0.7261367515410083,-0.7361558811604222,food
-0.15700046529282802,-1.4422529690754613,doesn
-0.05256226963202365,-1.038636359421171,economic
